mode,case,concurrency,fragment,phase,exchanges,allocations,zeroed_allocations,reallocations,deallocations,requested_live_change,requested_peak_growth,requested_live_start,requested_live_end,requested_peak_live,live_before_setup,teardown_live_change
direct,empty,1,65536,cold,1,62,2,9,14,75692,75744,847,76539,76591,847,0
selected,empty,1,65536,cold,1,64,2,9,14,82796,82848,849,83645,83697,849,0
auto,empty,1,65536,cold,1,70,4,9,20,82796,113189,845,83641,114034,845,0
direct,empty,1,65536,steady,4,16,0,2,16,64,116,76789,76853,76905,849,0
selected,empty,1,65536,steady,4,16,0,2,16,64,116,83895,83959,84011,851,0
auto,empty,1,65536,steady,4,16,0,2,16,64,116,83891,83955,84007,847,0
direct,empty,8,65536,cold,8,102,2,14,54,99132,101306,847,99979,102153,847,0
selected,empty,8,65536,cold,8,104,2,14,54,106236,108410,849,107085,109259,849,0
auto,empty,8,65536,cold,8,110,4,14,60,106236,131360,845,107081,132205,845,0
direct,empty,8,65536,steady,32,128,0,2,128,512,616,102445,102957,103061,849,0
selected,empty,8,65536,steady,32,128,0,2,128,512,616,109551,110063,110167,851,0
auto,empty,8,65536,steady,32,128,0,2,128,512,616,109547,110059,110163,847,0
direct,empty,64,65536,cold,64,353,2,26,305,302748,322541,848,303596,323389,848,0
selected,empty,64,65536,cold,64,355,2,26,305,309852,329645,850,310702,330495,850,0
auto,empty,64,65536,cold,64,361,4,26,311,309852,329645,846,310698,330491,846,0
direct,empty,64,65536,steady,256,1060,0,2,1060,4096,6404,323310,327406,329714,850,0
selected,empty,64,65536,steady,256,1060,0,2,1060,4096,6404,330416,334512,336820,852,0
auto,empty,64,65536,steady,256,1060,0,2,1060,4096,6404,330412,334508,336816,848,0
direct,empty,128,65536,cold,128,626,2,30,578,535452,575669,849,536301,576518,849,0
selected,empty,128,65536,cold,128,628,2,30,578,542556,582773,851,543407,583624,851,0
auto,empty,128,65536,cold,128,634,4,30,584,542556,582773,847,543403,583620,847,0
direct,empty,128,65536,steady,512,2128,0,2,2128,8192,13339,575727,583919,589066,851,0
selected,empty,128,65536,steady,512,2128,0,2,2128,8192,13339,582833,591025,596172,853,0
auto,empty,128,65536,steady,512,2128,0,2,2128,8192,13339,582829,591021,596168,849,0
direct,duplex,1,65536,cold,1,66,2,9,16,76172,76276,848,77020,77124,848,0
selected,duplex,1,65536,cold,1,68,2,9,16,83276,83380,850,84126,84230,850,0
auto,duplex,1,65536,cold,1,74,4,9,22,83276,113509,846,84122,114355,846,0
direct,duplex,1,65536,steady,4,24,0,2,24,64,168,77270,77334,77438,850,0
selected,duplex,1,65536,steady,4,24,0,2,24,64,168,84376,84440,84544,852,0
auto,duplex,1,65536,steady,4,24,0,2,24,64,168,84372,84436,84540,848,0
direct,duplex,8,65536,cold,8,119,2,13,69,99452,101306,848,100300,102154,848,0
