mode,case,concurrency,fragment,phase,batches,exchanges,warmup_batches,allocations,zeroed_allocations,reallocations,deallocations,allocations_per_exchange,requested_live_start,requested_live_end,requested_peak_live,requested_peak_growth,requested_live_change,live_before_setup,live_after_teardown,teardown_live_change,identical_repetitions
direct,empty,1,65536,cold,1,1,0,62,2,9,14,62.0,836,76528,76580,75744,75692,836,836,0,3
selected,empty,1,65536,cold,1,1,0,64,2,9,14,64.0,838,83634,83686,82848,82796,838,838,0,3
auto,empty,1,65536,cold,1,1,0,70,4,9,20,70.0,834,83630,114023,113189,82796,834,834,0,3
direct,empty,1,65536,steady,4,4,8,16,0,2,16,4.0,76778,76842,76894,116,64,838,838,0,3
selected,empty,1,65536,steady,4,4,8,16,0,2,16,4.0,83884,83948,84000,116,64,840,840,0,3
auto,empty,1,65536,steady,4,4,8,16,0,2,16,4.0,83880,83944,83996,116,64,836,836,0,3
direct,empty,8,65536,cold,1,8,0,102,2,14,54,12.75,836,99968,102142,101306,99132,836,836,0,3
selected,empty,8,65536,cold,1,8,0,104,2,14,54,13.0,838,107074,109248,108410,106236,838,838,0,3
auto,empty,8,65536,cold,1,8,0,110,4,14,60,13.75,834,107070,132194,131360,106236,834,834,0,3
direct,empty,8,65536,steady,4,32,8,128,0,2,128,4.0,102434,102946,103050,616,512,838,838,0,3
selected,empty,8,65536,steady,4,32,8,128,0,2,128,4.0,109540,110052,110156,616,512,840,840,0,3
auto,empty,8,65536,steady,4,32,8,128,0,2,128,4.0,109536,110048,110152,616,512,836,836,0,3
direct,empty,64,65536,cold,1,64,0,353,2,26,305,5.515625,837,303585,323378,322541,302748,837,837,0,3
selected,empty,64,65536,cold,1,64,0,355,2,26,305,5.546875,839,310691,330484,329645,309852,839,839,0,3
auto,empty,64,65536,cold,1,64,0,361,4,26,311,5.640625,835,310687,330480,329645,309852,835,835,0,3
direct,empty,64,65536,steady,4,256,8,1060,0,2,1060,4.140625,323299,327395,329703,6404,4096,839,839,0,3
selected,empty,64,65536,steady,4,256,8,1060,0,2,1060,4.140625,330405,334501,336809,6404,4096,841,841,0,3
auto,empty,64,65536,steady,4,256,8,1060,0,2,1060,4.140625,330401,334497,336805,6404,4096,837,837,0,3
direct,empty,128,65536,cold,1,128,0,626,2,30,578,4.890625,838,536290,576507,575669,535452,838,838,0,3
selected,empty,128,65536,cold,1,128,0,628,2,30,578,4.90625,840,543396,583613,582773,542556,840,840,0,3
auto,empty,128,65536,cold,1,128,0,634,4,30,584,4.953125,836,543392,583609,582773,542556,836,836,0,3
direct,empty,128,65536,steady,4,512,8,2128,0,2,2128,4.15625,575716,583908,589055,13339,8192,840,840,0,3
selected,empty,128,65536,steady,4,512,8,2128,0,2,2128,4.15625,582822,591014,596161,13339,8192,842,842,0,3
auto,empty,128,65536,steady,4,512,8,2128,0,2,2128,4.15625,582818,591010,596157,13339,8192,838,838,0,3
direct,duplex,1,65536,cold,1,1,0,66,2,9,16,66.0,837,77009,77113,76276,76172,837,837,0,3
