mode,case,concurrency,fragment,phase,exchanges,allocations,zeroed_allocations,reallocations,deallocations,requested_live_start,requested_live_end,requested_peak_live,requested_peak_growth,requested_live_change,teardown_live_change
direct,empty,1,65536,cold,1,62,2,9,14,831,76523,76575,75744,75692,0
selected,empty,1,65536,cold,1,64,2,9,14,833,83629,83681,82848,82796,0
auto,empty,1,65536,cold,1,70,4,9,20,829,83625,114018,113189,82796,0
direct,empty,1,65536,steady,4,16,0,2,16,76773,76837,76889,116,64,0
selected,empty,1,65536,steady,4,16,0,2,16,83879,83943,83995,116,64,0
auto,empty,1,65536,steady,4,16,0,2,16,83875,83939,83991,116,64,0
direct,empty,8,65536,cold,8,102,2,14,54,831,99963,102137,101306,99132,0
selected,empty,8,65536,cold,8,104,2,14,54,833,107069,109243,108410,106236,0
auto,empty,8,65536,cold,8,110,4,14,60,829,107065,132189,131360,106236,0
direct,empty,8,65536,steady,32,128,0,2,128,102429,102941,103045,616,512,0
selected,empty,8,65536,steady,32,128,0,2,128,109535,110047,110151,616,512,0
auto,empty,8,65536,steady,32,128,0,2,128,109531,110043,110147,616,512,0
direct,empty,64,65536,cold,64,353,2,26,305,832,303580,323373,322541,302748,0
selected,empty,64,65536,cold,64,355,2,26,305,834,310686,330479,329645,309852,0
auto,empty,64,65536,cold,64,361,4,26,311,830,310682,330475,329645,309852,0
direct,empty,64,65536,steady,256,1060,0,2,1060,323294,327390,329698,6404,4096,0
selected,empty,64,65536,steady,256,1060,0,2,1060,330400,334496,336804,6404,4096,0
auto,empty,64,65536,steady,256,1060,0,2,1060,330396,334492,336800,6404,4096,0
direct,empty,128,65536,cold,128,626,2,30,578,833,536285,576502,575669,535452,0
selected,empty,128,65536,cold,128,628,2,30,578,835,543391,583608,582773,542556,0
auto,empty,128,65536,cold,128,634,4,30,584,831,543387,583604,582773,542556,0
direct,empty,128,65536,steady,512,2128,0,2,2128,575711,583903,589050,13339,8192,0
selected,empty,128,65536,steady,512,2128,0,2,2128,582817,591009,596156,13339,8192,0
auto,empty,128,65536,steady,512,2128,0,2,2128,582813,591005,596152,13339,8192,0
direct,duplex,1,65536,cold,1,66,2,9,16,832,77004,77108,76276,76172,0
selected,duplex,1,65536,cold,1,68,2,9,16,834,84110,84214,83380,83276,0
auto,duplex,1,65536,cold,1,74,4,9,22,830,84106,114339,113509,83276,0
direct,duplex,1,65536,steady,4,24,0,2,24,77254,77318,77422,168,64,0
selected,duplex,1,65536,steady,4,24,0,2,24,84360,84424,84528,168,64,0
auto,duplex,1,65536,steady,4,24,0,2,24,84356,84420,84524,168,64,0
direct,duplex,8,65536,cold,8,119,2,13,69,832,100284,102138,101306,99452,0
selected,duplex,8,65536,cold,8,121,2,13,69,834,107390,109244,108410,106556,0
auto,duplex,8,65536,cold,8,127,4,13,75,830,107386,132350,131520,106556,0
direct,duplex,8,65536,steady,32,184,0,2,184,102750,103262,103730,980,512,0
selected,duplex,8,65536,steady,32,184,0,2,184,109856,110368,110836,980,512,0
auto,duplex,8,65536,steady,32,184,0,2,184,109852,110364,110832,980,512,0
direct,duplex,64,65536,cold,64,500,2,22,450,833,301661,323390,322557,300828,0
selected,duplex,64,65536,cold,64,502,2,22,450,835,308767,330496,329661,307932,0
