mode,case,concurrency,fragment,phase,trials,median_ns,min_ns,max_ns,median_overhead_percent
direct,empty,1,17,steady,5,3698.989013671875,3649.24560546875,6167.2982177734375,0.0
selected,empty,1,17,steady,5,3780.5308837890625,3736.3671875,4870.559326171875,2.204436666770282
auto,empty,1,17,steady,5,3820.523681640625,3681.9095458984375,4302.29296875,3.285618516831068
direct,empty,1,1024,steady,5,2875.4600219726562,2842.2923431396484,4013.128921508789,0.0
selected,empty,1,1024,steady,5,2887.961654663086,2867.0328979492188,3044.004913330078,0.43476983143215797
auto,empty,1,1024,steady,5,2883.0209197998047,2864.1328887939453,3082.0911560058594,0.2629456771915617
direct,empty,1,65536,steady,5,2880.6373596191406,2849.3480377197266,3109.9005126953125,0.0
selected,empty,1,65536,steady,5,2901.0064697265625,2863.898941040039,3051.3657989501953,0.7071042816064521
auto,empty,1,65536,steady,5,2892.9482421875,2860.9827423095703,4413.476989746094,0.42736662173912254
direct,empty,8,17,steady,5,3442.174072265625,3428.6866455078125,6249.19580078125,0.0
selected,empty,8,17,steady,5,3513.268310546875,3488.4779052734375,4572.1558837890625,2.0653876529392434
auto,empty,8,17,steady,5,3505.895263671875,3476.905517578125,4297.98388671875,1.8511902672112335
direct,empty,8,1024,steady,5,2715.880661010742,2684.739059448242,3847.940902709961,0.0
selected,empty,8,1024,steady,5,2700.464614868164,2684.017303466797,3793.4345703125,-0.5676260508751807
auto,empty,8,1024,steady,5,2706.9358978271484,2686.4816131591797,3939.217803955078,-0.3293503765465444
direct,empty,8,65536,steady,5,2733.5064849853516,2686.948989868164,3895.2434844970703,0.0
selected,empty,8,65536,steady,5,2702.807662963867,2685.7188873291016,2826.812713623047,-1.1230564913640162
auto,empty,8,65536,steady,5,2751.0447387695312,2704.973876953125,3457.819625854492,0.6416027867690799
direct,empty,64,17,steady,5,3443.164306640625,3379.34375,3798.4532470703125,0.0
selected,empty,64,17,steady,5,3526.4290771484375,3441.4827880859375,3718.76513671875,2.418263059570669
