mode,concurrency,previous_cohort,through_cohort,retired_each_endpoint,allocations,reallocations,deallocations,requested_live_start,requested_live_end,requested_live_change,requested_peak_live,harness_requested_bytes
direct,1,0,0,0,20,4,2,844,4980,4136,4980,3768
direct,1,0,8,8,74,7,44,4980,76784,71804,76872,3768
direct,1,8,10,10,8,2,8,76784,76848,64,76900,3768
direct,1,10,12,12,8,0,8,76848,76848,0,76900,3768
direct,1,12,100,100,358,6,358,76848,79760,2912,79840,3768
direct,1,100,1000,1000,3608,6,3608,79760,121488,41728,130720,3768
direct,1,1000,1024,1024,96,0,96,121488,121488,0,121540,3768
direct,1,1024,1025,1025,4,2,4,121488,129680,8192,129732,3768
direct,1,1025,2000,2000,3900,0,3900,129680,129680,0,129732,3768
direct,1,2000,5000,5000,12000,0,12000,129680,129680,0,129732,3768
direct,1,5000,10000,10000,20000,0,20000,129680,129680,0,129732,3768
direct,8,0,0,0,20,4,2,844,17020,16176,17020,15808
direct,8,0,8,64,312,16,282,17020,102440,85420,103032,15808
direct,8,8,10,80,64,2,64,102440,102952,512,103056,15808
direct,8,10,12,96,64,0,64,102952,102952,0,103056,15808
direct,8,12,100,800,2822,6,2822,102952,126248,23296,126776,15808
direct,8,100,128,1024,898,0,898,126248,144680,18432,153912,15808
direct,8,128,129,1032,32,2,32,144680,152872,8192,152924,15808
direct,8,129,1000,8000,27872,0,27872,152872,152872,0,152976,15808
direct,8,1000,2000,16000,32000,0,32000,152872,152872,0,152976,15808
direct,8,2000,5000,40000,96000,0,96000,152872,152872,0,152976,15808
direct,8,5000,10000,80000,160000,0,160000,152872,152872,0,152976,15808
direct,64,0,0,0,20,4,2,845,113341,112496,113341,112128
direct,64,0,8,512,2194,28,2164,113341,323305,209964,330185,112128
direct,64,8,10,640,530,2,530,323305,327401,4096,329709,112128
direct,64,10,12,768,530,0,530,327401,327401,0,329709,112128
direct,64,12,16,1024,1062,0,1062,327401,345833,18432,357321,112128
direct,64,16,17,1088,265,2,265,345833,354025,8192,356333,112128
direct,64,17,100,6400,21995,0,21995,354025,354025,0,356333,112128
direct,64,100,1000,64000,238500,0,238500,354025,354025,0,356333,112128
direct,64,1000,2000,128000,265000,0,265000,354025,354025,0,356333,112128
direct,64,2000,5000,320000,795000,0,795000,354025,354025,0,356333,112128
direct,64,5000,10000,640000,1325000,0,1325000,354025,354025,0,356333,112128
direct,128,0,0,0,20,4,2,846,223422,222576,223422,222208
direct,128,0,8,1024,4336,32,4306,223422,575722,352300,590042,222208
direct,128,8,9,1152,532,2,532,575722,583914,8192,589054,222208
direct,128,9,10,1280,532,0,532,583914,583914,0,589061,222208
direct,128,10,12,1536,1064,0,1064,583914,583914,0,589061,222208
direct,128,12,100,12800,46816,0,46816,583914,583914,0,589061,222208
direct,128,100,1000,128000,478800,0,478800,583914,583914,0,589061,222208
direct,128,1000,2000,256000,532000,0,532000,583914,583914,0,589061,222208
direct,128,2000,5000,640000,1596000,0,1596000,583914,583914,0,589061,222208
direct,128,5000,10000,1280000,2660000,0,2660000,583914,583914,0,589061,222208
selected,1,0,0,0,22,4,2,846,12086,11240,12086,3768
selected,1,0,8,8,74,7,44,12086,83890,71804,83978,3768
selected,1,8,10,10,8,2,8,83890,83954,64,84006,3768
selected,1,10,12,12,8,0,8,83954,83954,0,84006,3768
selected,1,12,100,100,358,6,358,83954,86866,2912,86946,3768
selected,1,100,1000,1000,3608,6,3608,86866,128594,41728,137826,3768
selected,1,1000,1024,1024,96,0,96,128594,128594,0,128646,3768
selected,1,1024,1025,1025,4,2,4,128594,136786,8192,136838,3768
selected,1,1025,2000,2000,3900,0,3900,136786,136786,0,136838,3768
selected,1,2000,5000,5000,12000,0,12000,136786,136786,0,136838,3768
selected,1,5000,10000,10000,20000,0,20000,136786,136786,0,136838,3768
selected,8,0,0,0,22,4,2,846,24126,23280,24126,15808
selected,8,0,8,64,312,16,282,24126,109546,85420,110138,15808
selected,8,8,10,80,64,2,64,109546,110058,512,110162,15808
selected,8,10,12,96,64,0,64,110058,110058,0,110162,15808
selected,8,12,100,800,2822,6,2822,110058,133354,23296,133882,15808
selected,8,100,128,1024,898,0,898,133354,151786,18432,161018,15808
selected,8,128,129,1032,32,2,32,151786,159978,8192,160030,15808
selected,8,129,1000,8000,27872,0,27872,159978,159978,0,160082,15808
selected,8,1000,2000,16000,32000,0,32000,159978,159978,0,160082,15808
selected,8,2000,5000,40000,96000,0,96000,159978,159978,0,160082,15808
selected,8,5000,10000,80000,160000,0,160000,159978,159978,0,160082,15808
selected,64,0,0,0,22,4,2,847,120447,119600,120447,112128
selected,64,0,8,512,2194,28,2164,120447,330411,209964,337291,112128
selected,64,8,10,640,530,2,530,330411,334507,4096,336815,112128
selected,64,10,12,768,530,0,530,334507,334507,0,336815,112128
selected,64,12,16,1024,1062,0,1062,334507,352939,18432,364427,112128
selected,64,16,17,1088,265,2,265,352939,361131,8192,363439,112128
selected,64,17,100,6400,21995,0,21995,361131,361131,0,363439,112128
selected,64,100,1000,64000,238500,0,238500,361131,361131,0,363439,112128
selected,64,1000,2000,128000,265000,0,265000,361131,361131,0,363439,112128
selected,64,2000,5000,320000,795000,0,795000,361131,361131,0,363439,112128
selected,64,5000,10000,640000,1325000,0,1325000,361131,361131,0,363439,112128
selected,128,0,0,0,22,4,2,848,230528,229680,230528,222208
selected,128,0,8,1024,4336,32,4306,230528,582828,352300,597148,222208
selected,128,8,9,1152,532,2,532,582828,591020,8192,596160,222208
selected,128,9,10,1280,532,0,532,591020,591020,0,596167,222208
selected,128,10,12,1536,1064,0,1064,591020,591020,0,596167,222208
selected,128,12,100,12800,46816,0,46816,591020,591020,0,596167,222208
selected,128,100,1000,128000,478800,0,478800,591020,591020,0,596167,222208
selected,128,1000,2000,256000,532000,0,532000,591020,591020,0,596167,222208
selected,128,2000,5000,640000,1596000,0,1596000,591020,591020,0,596167,222208
selected,128,5000,10000,1280000,2660000,0,2660000,591020,591020,0,596167,222208
auto,1,0,0,0,26,4,2,842,78882,78040,78882,3768
auto,1,0,8,8,76,7,50,78882,83886,5004,114031,3768
auto,1,8,10,10,8,2,8,83886,83950,64,84002,3768
auto,1,10,12,12,8,0,8,83950,83950,0,84002,3768
auto,1,12,100,100,358,6,358,83950,86862,2912,86942,3768
auto,1,100,1000,1000,3608,6,3608,86862,128590,41728,137822,3768
auto,1,1000,1024,1024,96,0,96,128590,128590,0,128642,3768
auto,1,1024,1025,1025,4,2,4,128590,136782,8192,136834,3768
auto,1,1025,2000,2000,3900,0,3900,136782,136782,0,136834,3768
auto,1,2000,5000,5000,12000,0,12000,136782,136782,0,136834,3768
auto,1,5000,10000,10000,20000,0,20000,136782,136782,0,136834,3768
auto,8,0,0,0,26,4,2,842,90922,90080,90922,15808
