version,case,label,cohort,allocations,reallocations,deallocations,live,tracked_site_live,unattributed_live,origin_0_live,origin_1_live,origin_2_live
baseline,generic-empty-4096,pre_runtime,0,3,0,0,722,0,722,722,0,0
candidate,generic-empty-4096,pre_runtime,0,3,0,0,723,0,723,723,0,0
baseline,generic-empty-4096,connection_live,1,1183,17,1009,281667,281119,548,50598,5388,225681
candidate,generic-empty-4096,connection_live,1,1183,17,1009,281667,281119,548,50598,5388,225681
baseline,generic-empty-4096,connection_live,2,2114,20,1940,282051,281503,548,50598,5388,226065
candidate,generic-empty-4096,connection_live,2,2114,20,1940,282051,281503,548,50598,5388,226065
baseline,generic-empty-4096,connection_live,8,7724,24,7550,284163,283615,548,50598,5388,228177
candidate,generic-empty-4096,connection_live,8,7724,24,7550,284163,283615,548,50598,5388,228177
baseline,generic-empty-4096,connection_live,32,30224,29,30050,292675,292127,548,50662,5388,236625
candidate,generic-empty-4096,connection_live,32,30224,29,30050,292675,292127,548,50662,5388,236625
baseline,generic-empty-4096,connection_live,128,119673,33,119499,330259,329711,548,50662,5388,274209
candidate,generic-empty-4096,connection_live,128,119673,33,119499,330259,329711,548,50662,5388,274209
baseline,generic-empty-4096,connection_live,256,238816,35,238642,338451,337903,548,50662,5388,282401
candidate,generic-empty-4096,connection_live,256,238816,35,238642,338451,337903,548,50662,5388,282401
baseline,generic-empty-4096,connection_live,1024,953691,35,953517,338451,337903,548,50662,5388,282401
candidate,generic-empty-4096,connection_live,1024,953691,35,953517,338451,337903,548,50662,5388,282401
baseline,generic-empty-4096,connection_live,4096,3813227,35,3813053,338451,337903,548,50662,5388,282401
candidate,generic-empty-4096,connection_live,4096,3813227,35,3813053,338451,337903,548,50662,5388,282401
baseline,generic-empty-4096,post_driver_close,32768,3813331,38,3813266,37972,37424,548,33726,3430,816
candidate,generic-empty-4096,post_driver_close,32768,3813331,38,3813266,37972,37424,548,33726,3430,816
baseline,generic-empty-4096,post_runtime_cleanup,0,3813413,38,3813410,1572,1024,548,1572,0,0
candidate,generic-empty-4096,post_runtime_cleanup,0,3813413,38,3813410,1572,1024,548,1572,0,0
baseline,generic-owned-8,pre_runtime,0,3,0,0,719,0,719,719,0,0
candidate,generic-owned-8,pre_runtime,0,3,0,0,720,0,720,720,0,0
baseline,generic-owned-8,connection_live,1,35138,25,34953,419137,418589,548,51943,4950,362244
candidate,generic-owned-8,connection_live,1,35138,25,34953,419137,418589,548,51943,4950,362244
baseline,generic-owned-8,connection_live,2,66781,29,66592,485185,484637,548,52007,4950,428228
candidate,generic-owned-8,connection_live,2,66781,29,66592,485185,484637,548,52007,4950,428228
baseline,generic-owned-8,connection_live,8,260488,34,260299,487745,487197,548,52455,4950,430340
candidate,generic-owned-8,connection_live,8,260488,34,260299,487745,487197,548,52455,4950,430340
baseline,generic-owned-8,post_driver_close,64,260584,37,260519,38549,38001,548,34175,3430,944
candidate,generic-owned-8,post_driver_close,64,260584,37,260519,38549,38001,548,34175,3430,944
baseline,generic-owned-8,post_runtime_cleanup,0,260666,37,260663,1572,1024,548,1572,0,0
candidate,generic-owned-8,post_runtime_cleanup,0,260666,37,260663,1572,1024,548,1572,0,0
baseline,generic-static-32,pre_runtime,0,3,0,0,721,0,721,721,0,0
candidate,generic-static-32,pre_runtime,0,3,0,0,722,0,722,722,0,0
baseline,generic-static-32,connection_live,1,34114,25,33929,419137,418589,548,51943,4950,362244
candidate,generic-static-32,connection_live,1,34114,25,33929,419137,418589,548,51943,4950,362244
baseline,generic-static-32,connection_live,2,64733,29,64544,485185,484637,548,52007,4950,428228
candidate,generic-static-32,connection_live,2,64733,29,64544,485185,484637,548,52007,4950,428228
baseline,generic-static-32,connection_live,8,252296,34,252107,487745,487197,548,52455,4950,430340
