backend,phase,case,concurrency,payload,allocations,reallocations,deallocations,requested_live_start,requested_live_end,requested_peak_live,worker_origin_allocations,application_origin_allocations,connection_origin_allocations
native,cold,empty,1,static,263,27,236,33291,36659,194641,16,38,209
native,cold,fixed,1,static,288,28,257,33291,37203,230381,15,40,233
native,cold,empty,128,static,12027,85,11002,33291,180283,1451298,904,3471,7652
native,cold,fixed,128,static,13648,95,12340,33291,230931,1916511,903,3600,9145
native,cold,duplex,8,static,17218,175,13113,33292,624252,1773878,1121,1285,14812
native,cold,duplex,8,owned-per-chunk,18242,175,14137,33292,624252,2031518,1121,2309,14812
native,steady,empty,1,static,208,5,122,193027,201651,205387,14,44,150
native,steady,fixed,1,static,246,4,128,228767,240591,243942,14,46,186
native,steady,empty,128,static,22544,11,16769,856080,1497288,2115847,1792,5893,14859
native,steady,fixed,128,static,25823,11,17395,1079420,2040044,2908875,1792,6148,17883
native,steady,duplex,8,static,35230,202,7366,1691064,4549080,4659516,2224,2484,30522
native,steady,duplex,8,owned-per-chunk,37278,202,9414,1691064,4549080,4906928,2224,4532,30522
generic,cold,empty,1,static,269,21,256,33292,34564,273094,17,38,214
generic,cold,fixed,1,static,294,22,281,33292,34564,308162,16,40,238
generic,cold,empty,128,static,11843,62,11829,33292,34660,1454204,905,3472,7466
generic,cold,fixed,128,static,13656,70,13643,33292,38460,1959471,904,3600,9152
generic,cold,duplex,8,static,18457,146,18443,33293,35173,1430725,1122,1285,16050
generic,cold,duplex,8,owned-per-chunk,19481,146,19467,33293,35173,1690661,1122,2309,16050
generic,steady,empty,1,static,208,3,138,271480,277800,282184,14,44,150
generic,steady,fixed,1,static,244,2,150,306548,314852,319075,14,44,186
generic,steady,empty,128,static,22444,9,18780,770261,1115797,1805362,1792,5892,14760
generic,steady,fixed,128,static,25836,9,19976,966857,1528201,2538668,1792,6148,17896
generic,steady,duplex,8,static,33244,202,15639,1296845,2892885,3018969,2224,2482,28538
generic,steady,duplex,8,owned-per-chunk,35292,202,17687,1296845,2892885,3279533,2224,4530,28538
