case,concurrency,phase,backend,measured_exchanges,warmup_cohorts,allocations,allocations_per_exchange,reallocations,reallocations_per_exchange,deallocations,deallocations_per_exchange,requested_live_start,requested_live_end,requested_peak_live,requested_live_change,runtime_and_unattributed_wrapper_workers_allocations,application_facing_polls_allocations,connection_driver_polls_allocations
empty,1,cold,native,1,0,317,317.0,13,13.0,304,304.0,33259,34587,190484,1328,18,38,261
empty,1,cold,generic,1,0,355,355.0,13,13.0,342,342.0,33260,34588,270502,1328,19,38,298
empty,1,steady,native,4,2048,532,133.0,0,0.0,532,133.0,241903,241903,248011,0,36,88,408
empty,1,steady,generic,4,2048,596,149.0,0,0.0,596,149.0,322040,322040,327952,0,36,88,472
empty,8,cold,native,8,0,1045,130.625,21,2.625,1032,129.0,33259,34587,228444,1328,81,221,743
empty,8,cold,generic,8,0,1185,148.125,21,2.625,1171,146.375,33260,34620,314559,1360,82,221,882
empty,8,steady,native,32,256,3179,99.34375,0,0.0,3179,99.34375,258314,258314,294868,0,288,708,2183
empty,8,steady,generic,32,256,3716,116.125,0,0.0,3724,116.375,338451,337871,374684,-580,288,708,2720
empty,32,cold,native,32,0,3435,107.34375,34,1.0625,3422,106.9375,33259,34651,447470,1392,296,879,2260
empty,32,cold,generic,32,0,3890,121.5625,33,1.03125,3876,121.125,33260,34620,530239,1360,297,880,2713
empty,32,steady,native,128,64,12166,95.046875,0,0.0,12166,95.046875,329988,329988,511871,0,1152,2952,8062
empty,32,steady,generic,128,64,14071,109.9296875,0,0.0,14071,109.9296875,410125,410125,589576,0,1152,2952,9967
empty,128,cold,native,128,0,13227,103.3359375,45,0.3515625,13213,103.2265625,33259,34683,1285950,1424,1160,3471,8596
empty,128,cold,generic,128,0,14884,116.28125,45,0.3515625,14870,116.171875,33260,34684,1390832,1424,1161,3472,10251
empty,128,steady,native,512,32,49447,96.576171875,0,0.0,49447,96.576171875,588084,588084,1352839,0,4608,11785,33054
empty,128,steady,generic,512,32,57270,111.85546875,0,0.0,57270,111.85546875,668221,668221,1428245,0,4608,11785,40877
fixed4k,1,cold,native,1,0,353,353.0,13,13.0,340,340.0,33259,34587,223776,1328,17,41,295
fixed4k,1,cold,generic,1,0,399,399.0,13,13.0,386,386.0,33260,34588,303794,1328,18,41,340
fixed4k,1,steady,native,4,2048,660,165.0,0,0.0,660,165.0,275195,275195,281334,0,36,96,528
fixed4k,1,steady,generic,4,2048,748,187.0,0,0.0,748,187.0,355332,355332,361299,0,36,88,624
fixed4k,8,cold,native,8,0,1259,157.375,23,2.875,1245,155.625,33259,34811,294992,1552,80,238,941
fixed4k,8,cold,generic,8,0,1443,180.375,23,2.875,1430,178.75,33260,34780,375325,1520,81,238,1124
fixed4k,8,steady,native,32,256,4054,126.6875,0,0.0,4054,126.6875,324534,324534,379021,0,288,772,2994
fixed4k,8,steady,generic,32,256,4725,147.65625,0,0.0,4725,147.65625,437471,437471,492394,0,288,772,3665
fixed4k,32,cold,native,32,0,4218,131.8125,38,1.1875,4204,131.375,33259,35579,588568,2320,295,944,2979
fixed4k,32,cold,generic,32,0,4920,153.75,38,1.1875,4906,153.3125,33260,35580,685846,2320,296,944,3680
fixed4k,32,steady,native,128,64,15076,117.78125,0,0.0,15076,117.78125,430704,430704,726495,0,1152,3208,10716
fixed4k,32,steady,generic,128,64,17588,137.40625,0,0.0,17588,137.40625,510073,510073,806300,0,1152,3208,13228
fixed4k,128,cold,native,128,0,15714,122.765625,51,0.3984375,15700,122.65625,33259,38651,1812839,5392,1159,3728,10827
fixed4k,128,cold,generic,128,0,18320,143.125,50,0.390625,18307,143.0234375,33260,38476,1900431,5216,1160,3728,13432
fixed4k,128,steady,native,512,32,59855,116.904296875,0,0.0,59855,116.904296875,692032,692032,1944367,0,4608,12808,42439
fixed4k,128,steady,generic,512,32,69977,136.673828125,0,0.0,69961,136.642578125,737181,738273,1991044,1092,4608,12810,52559
stream32k,1,cold,native,1,0,461,461.0,14,14.0,448,448.0,33260,34652,228833,1392,34,45,382
stream32k,1,cold,generic,1,0,537,537.0,14,14.0,524,524.0,33261,34653,341400,1392,35,45,457
stream32k,1,steady,native,4,2048,1036,259.0,0,0.0,1036,259.0,276405,276405,285421,0,100,124,812
stream32k,1,steady,generic,4,2048,1307,326.75,0,0.0,1307,326.75,389146,389146,398162,0,100,123,1084
stream32k,8,cold,native,8,0,1853,231.625,28,3.5,1839,229.875,33260,35196,336378,1936,209,292,1352
stream32k,8,cold,generic,8,0,2264,283.0,28,3.5,2251,281.375,33261,35165,481035,1904,210,292,1762
stream32k,8,steady,native,32,256,6612,206.625,0,0.0,6612,206.625,359792,359792,423036,0,800,996,4816
stream32k,8,steady,generic,32,256,8082,252.5625,0,0.0,8082,252.5625,505365,505365,569272,0,800,996,6286
stream32k,32,cold,native,32,0,7125,222.65625,46,1.4375,7111,222.21875,33260,37116,687630,3856,809,1168,5148
stream32k,32,cold,generic,32,0,8445,263.90625,47,1.46875,8431,263.46875,33261,37117,864619,3856,810,1166,6469
stream32k,32,steady,native,128,64,26309,205.5390625,0,0.0,26309,205.5390625,436618,436618,772306,0,3200,4105,19004
stream32k,32,steady,generic,128,64,31855,248.8671875,0,0.0,31855,248.8671875,582031,582031,918855,0,3202,4105,24548
stream32k,128,cold,native,128,0,27303,213.3046875,64,0.5,27289,213.1953125,33260,44220,2051472,10960,3209,4623,19471
stream32k,128,cold,generic,128,0,33568,262.25,64,0.5,33554,262.140625,33261,44221,2190895,10960,3210,4625,25733
stream32k,128,steady,native,512,32,105601,206.251953125,0,0.0,105601,206.251953125,744954,744954,2171616,0,12800,16397,76404
stream32k,128,steady,generic,512,32,131070,255.99609375,0,0.0,131070,255.99609375,857727,857727,2285934,0,12802,16398,101870
stream1m,1,cold,native,1,0,3574,3574.0,14,14.0,3560,3560.0,33260,34684,229683,1424,282,169,3123
stream1m,1,cold,generic,1,0,5261,5261.0,14,14.0,5247,5247.0,33261,34685,342816,1424,283,170,4808
stream1m,1,steady,native,2,8,6947,3473.5,2,1.0,6947,3473.5,223521,223585,232601,64,546,309,6092
stream1m,1,steady,generic,2,8,9922,4961.0,2,1.0,9922,4961.0,336262,336326,345342,64,546,308,9068
stream1m,8,cold,native,8,0,24795,3099.375,28,3.5,24781,3097.625,33260,35196,337262,1936,2193,1286,21316
stream1m,8,cold,generic,8,0,34675,4334.375,28,3.5,34661,4332.625,33261,35197,483163,1936,2194,1284,31197
stream1m,8,steady,native,16,8,48792,3049.5,2,0.125,48792,3049.5,276124,276636,340688,512,4368,2482,41942
stream1m,8,steady,generic,16,8,61262,3828.875,2,0.125,61262,3828.875,454945,455457,519901,512,4368,2482,54412
stream1m,32,cold,native,32,0,94426,2950.8125,46,1.4375,94412,2950.375,33260,37116,689024,3856,8745,5138,80543
stream1m,32,cold,generic,32,0,138255,4320.46875,47,1.46875,138241,4320.03125,33261,37117,868221,3856,8746,5135,124374
stream1m,32,steady,native,64,8,187138,2924.03125,2,0.03125,187138,2924.03125,394486,396534,736530,2048,17472,9988,159678
stream1m,32,steady,generic,64,8,274942,4295.96875,2,0.03125,274942,4295.96875,539611,541659,881471,2048,17472,9988,247482
stream1m,128,cold,native,128,0,417056,3258.25,65,0.5078125,417042,3258.140625,33260,44220,2055840,10960,34953,20496,361607
stream1m,128,cold,generic,128,0,554723,4333.7734375,64,0.5,554709,4333.6640625,33261,44221,2168973,10960,34954,20498,499271
stream1m,128,steady,native,256,8,764653,2986.92578125,2,0.0078125,764651,2986.91796875,671174,712166,2143858,40992,69888,39947,654818
stream1m,128,steady,generic,256,8,990841,3870.47265625,2,0.0078125,990841,3870.47265625,881739,889931,2323215,8192,69888,39940,881013
duplex1m,1,cold,native,1,0,3620,3620.0,14,14.0,3606,3606.0,33260,34684,229651,1424,282,169,3169
duplex1m,1,cold,generic,1,0,5211,5211.0,14,14.0,5197,5197.0,33261,34685,342816,1424,283,170,4758
duplex1m,1,steady,native,2,8,7031,3515.5,2,1.0,7031,3515.5,223521,223585,232601,64,546,309,6176
duplex1m,1,steady,generic,2,8,9973,4986.5,2,1.0,9973,4986.5,336262,336326,345342,64,546,309,9118
duplex1m,8,cold,native,8,0,23408,2926.0,28,3.5,23394,2924.25,33260,35196,337262,1936,2193,1285,19930
duplex1m,8,cold,generic,8,0,34104,4263.0,28,3.5,34090,4261.25,33261,35197,483195,1936,2194,1285,30625
duplex1m,8,steady,native,16,8,48823,3051.4375,2,0.125,48823,3051.4375,276572,277084,341136,512,4368,2482,41973
duplex1m,8,steady,generic,16,8,61514,3844.625,2,0.125,61514,3844.625,487745,488257,552701,512,4368,2482,54664
