case,concurrency,phase,backend,trial_groups,process_runs,cohorts_per_process,warmup_cohorts,wall_ns_per_exchange_median,wall_ns_per_exchange_min,wall_ns_per_exchange_max,wall_ns_per_exchange_p25,wall_ns_per_exchange_p75,wall_median_bootstrap95_low,wall_median_bootstrap95_high,cpu_ns_per_exchange_median,cpu_ns_per_exchange_min,cpu_ns_per_exchange_max,cohort_completion_ns_median,exchanges_per_second,bidirectional_payload_mib_per_second,cold_connection_p50_ns,cold_connection_p95_ns
duplex1m,1,cold,generic,5,30,1,0,2162210.8333333335,2148563.5,2197515.8333333335,2159957.8333333335,2168865.1666666665,2148563.5,2197515.8333333335,2149466.6666666665,2136316.6666666665,2164733.3333333335,2162210.8333333335,462.48958916664384,924.9791783332877,2128378.5,2361266.8
duplex1m,1,cold,native,5,30,1,0,1712258.6666666667,1665335.8333333333,1742475.6666666667,1698554.5,1721874.3333333333,1665335.8333333333,1742475.6666666667,1701583.3333333333,1662916.6666666667,1740066.6666666667,1712258.6666666667,584.0239091601425,1168.047818320285,1685723.0,1852502.0
duplex1m,1,steady,generic,5,5,174,8,1821550.6724137932,1790158.4540229884,1892214.2988505748,1803062.4827586208,1846218.5862068965,1790158.4540229884,1892214.2988505748,1818562.0689655172,1790000.0,1892001.7241379311,1821550.6724137932,548.9828063223018,1097.9656126446037,,
duplex1m,1,steady,native,5,5,174,8,1427831.0977011495,1421855.9252873564,1518800.4655172413,1423850.2988505748,1438216.948275862,1421855.9252873564,1518800.4655172413,1427660.3448275863,1420462.6436781608,1516846.551724138,1427831.0977011495,700.3629502187126,1400.7259004374253,,
duplex1m,8,cold,generic,5,5,1,0,1672762.125,1640974.125,2357920.625,1649668.875,1973574.5,1640974.125,2357920.625,1669600.0,1640562.5,2357537.5,13382097.0,597.8136311521281,1195.6272623042562,13382097,18248411.2
duplex1m,8,cold,native,5,5,1,0,1348082.25,1340879.25,1982815.375,1345032.375,1353390.5,1340879.25,1982815.375,1347712.5,1339775.0,1978862.5,10784658.0,741.7945010402741,1483.5890020805482,10784658,14855443.2
duplex1m,8,steady,generic,5,5,25,8,1556009.715,1543845.15,1670579.94,1550830.36,1639095.85,1543845.15,1670579.94,1555952.0,1543773.0,1670521.0,12448077.72,642.6695092967334,1285.3390185934668,,
duplex1m,8,steady,native,5,5,25,8,1287243.065,1272278.485,1402041.405,1276629.315,1293897.485,1272278.485,1402041.405,1287224.0,1272265.0,1402025.0,10297944.52,776.8540590273058,1553.7081180546115,,
duplex1m,32,cold,generic,5,5,1,0,1623447.78125,1611008.125,1762412.5,1615898.6875,1628674.78125,1611008.125,1762412.5,1622878.125,1610084.375,1761518.75,51950329.0,615.972999901502,1231.945999803004,51950329,55541278.6
duplex1m,32,cold,native,5,5,1,0,1320503.8125,1306703.5625,1322835.1875,1319071.28125,1321215.4375,1306703.5625,1322835.1875,1319625.0,1306131.25,1321881.25,42256122.0,757.2867193066131,1514.5734386132262,42256122,42320359.6
duplex1m,32,steady,generic,5,5,7,8,1589670.96875,1583170.2232142857,1671347.0892857143,1585749.263392857,1593964.299107143,1583170.2232142857,1671347.0892857143,1589622.767857143,1583145.5357142857,1671267.857142857,50869471.0,629.0609941668157,1258.1219883336314,,
duplex1m,32,steady,native,5,5,7,8,1306937.1964285714,1283520.25,1574429.6830357143,1298568.2455357143,1394852.5848214286,1283520.25,1574429.6830357143,1306863.8392857143,1283474.5535714286,1574408.0357142857,41821990.28571428,765.1477077342893,1530.2954154685785,,
duplex1m,128,cold,generic,5,5,1,0,1646156.3046875,1629952.1640625,1729179.28125,1641062.9375,1651422.359375,1629952.1640625,1729179.28125,1646035.9375,1629725.78125,1728899.21875,210708007.0,607.4757282479541,1214.9514564959081,210708007,219344370.8
duplex1m,128,cold,native,5,5,1,0,1327342.2265625,1314249.8515625,1387118.0,1325577.796875,1339118.328125,1314249.8515625,1387118.0,1327107.8125,1313933.59375,1386874.21875,169899805.0,753.3852084173964,1506.7704168347927,169899805,176322312.4
duplex1m,128,steady,generic,5,5,2,8,1644528.94140625,1632702.98828125,1692788.203125,1638961.37890625,1648541.5,1632702.98828125,1692788.203125,1644478.515625,1632648.828125,1692735.9375,210499704.5,608.0768631197769,1216.1537262395539,,
duplex1m,128,steady,native,5,5,2,8,1325511.77734375,1321647.2265625,1414829.67578125,1325101.953125,1332893.70703125,1321647.2265625,1414829.67578125,1325492.96875,1321629.296875,1414791.015625,169665507.5,754.4255864734322,1508.8511729468644,,
empty,1,cold,generic,5,155,1,0,315752.3870967742,304471.51612903224,379511.8064516129,306794.7419354839,368560.1935483871,304471.51612903224,379511.8064516129,307777.4193548387,293116.12903225806,370545.1612903226,315752.3870967742,3167.038606404937,0.3866013923834152,328404,449126.2999999995
empty,1,cold,native,5,155,1,0,255142.4516129032,240816.09677419355,304114.12903225806,249580.61290322582,273565.29032258067,240816.09677419355,304114.12903225806,252219.35483870967,238432.25806451612,300300.0,255142.4516129032,3919.379129887719,0.47843983519137195,242903,325094.9999999998
empty,1,steady,generic,5,5,7850,2048,35765.115541401276,34973.912738853505,50690.04445859873,35017.749936305736,39174.40203821656,34973.912738853505,50690.04445859873,35764.59872611465,34973.452229299364,50689.24840764331,35765.115541401276,27960.206051687765,3.4131110902939166,,
empty,1,steady,native,5,5,7850,2048,32818.14815286624,31626.63617834395,47168.14560509554,32573.068789808916,36874.99732484076,31626.63617834395,47168.14560509554,32817.68152866242,31626.242038216562,47165.31210191083,32818.14815286624,30470.945384913895,3.719597825306872,,
empty,8,cold,generic,5,105,1,0,74347.5,71079.02380952382,90048.17857142857,72931.42261904762,83549.88095238095,71079.02380952382,90048.17857142857,71022.61904761905,69429.76190476191,88355.35714285714,594780.0,13450.351390430074,1.6418885974646087,599409,813630.7999999999
empty,8,cold,native,5,105,1,0,64086.02976190476,57708.57142857143,77403.97619047618,60721.14880952381,75577.76785714286,57708.57142857143,77403.97619047618,62744.04761904762,57332.73809523809,77105.95238095238,512688.2380952381,15604.024835291622,1.9047881879018094,549607,641448.2
empty,8,steady,generic,5,5,1223,256,28933.4568683565,28689.616107931317,40495.093826655764,28718.8603843009,29473.39196647588,28689.616107931317,40495.093826655764,28933.115290269827,28689.227309893704,40494.562551103845,231467.654946852,34562.064413867694,4.219002003645959,,
empty,8,steady,native,5,5,1223,256,25545.131234668846,25317.0665372036,35216.44858953393,25379.338716271464,26461.838716271464,25317.0665372036,35216.44858953393,25544.112837285364,25214.452166802945,35215.3413736713,204361.04987735077,39146.40292169803,4.778613637902591,,
empty,32,cold,generic,5,45,1,0,42053.725694444445,40415.79861111111,56485.208333333336,41162.399305555555,46611.711805555555,40415.79861111111,56485.208333333336,41610.416666666664,40320.13888888889,56412.15277777778,1345719.2222222222,23779.10597662233,2.9027228975369055,1312918,1888208.0
empty,32,cold,native,5,45,1,0,38416.46527777778,37391.163194444445,53402.166666666664,37766.17361111111,38966.475694444445,37391.163194444445,53402.166666666664,38071.180555555555,37320.833333333336,52422.916666666664,1229326.888888889,26030.505221375886,3.177551906906236,1216416,1721264.7999999998
empty,32,steady,generic,5,5,321,64,27969.002920560746,27687.011390186915,39501.30646417446,27699.791666666668,38174.14972741433,27687.011390186915,39501.30646417446,27968.107476635512,27686.03971962617,39500.827492211836,895008.0934579439,35753.866622999056,4.364485671752814,,
empty,32,steady,native,5,5,321,64,25308.474007009347,24461.360397196262,31804.721865264797,24476.828757788164,30950.982671339563,24461.360397196262,31804.721865264797,25308.167834890966,24460.96183800623,31803.679906542056,809871.1682242991,39512.457358078704,4.823298017343592,,
empty,128,cold,generic,5,15,1,0,34647.890625,34125.760416666664,57179.901041666664,34359.294270833336,46045.197916666664,34125.760416666664,57179.901041666664,34573.4375,34106.25,56938.28125,4434930.0,28861.78586809713,3.5231672202267004,4512358,7381384.8999999985
empty,128,cold,native,5,15,1,0,31815.296875,31191.083333333332,47452.955729166664,31438.947916666668,43763.9140625,31191.083333333332,47452.955729166664,31793.75,31173.4375,47412.5,4072358.0,31431.421304315583,3.836843420936961,4156553,6111259.1
empty,128,steady,generic,5,5,77,32,28752.713575487014,28460.547280844155,40459.65523538961,28478.865969967534,30810.309050324675,28460.547280844155,40459.65523538961,28752.39448051948,28460.146103896102,40458.55316558442,3680347.337662338,34779.32604081394,4.245523198341545,,
empty,128,steady,native,5,5,77,32,26853.08492288961,25388.10562094156,37450.90564123377,25452.204443993505,31500.384131493505,25388.10562094156,37450.90564123377,26852.100243506495,25387.743506493505,37450.34496753247,3437194.8701298703,37239.66921758023,4.545858058786649,,
fixed4k,1,cold,generic,5,155,1,0,350718.03225806454,343253.22580645164,380669.5483870968,345630.32258064515,352553.5483870968,343253.22580645164,380669.5483870968,339145.1612903226,332938.70967741933,377500.0,350718.03225806454,2851.293369666782,22.275729450521734,347405,436136.3
fixed4k,1,cold,native,5,155,1,0,285690.8387096774,283097.5806451613,337323.7419354839,283142.8387096774,294578.5483870968,283097.5806451613,337323.7419354839,282748.3870967742,280061.29032258067,325554.8387096774,285690.8387096774,3500.2872493794334,27.345994135776824,299004,355624.29999999993
