case,concurrency,phase,backend,trial_groups,process_runs,cohorts_per_process,warmup_cohorts,wall_ns_per_exchange_median,wall_ns_per_exchange_min,wall_ns_per_exchange_max,wall_ns_per_exchange_p25,wall_ns_per_exchange_p75,wall_median_bootstrap95_low,wall_median_bootstrap95_high,cpu_ns_per_exchange_median,cpu_ns_per_exchange_min,cpu_ns_per_exchange_max,cohort_completion_ns_median,exchanges_per_second,bidirectional_payload_mib_per_second,cold_connection_p50_ns,cold_connection_p95_ns
duplex1m,1,cold,generic,5,35,1,0,2141847.4285714286,2099705.714285714,2185875.8571428573,2138433.1428571427,2145277.4285714286,2099705.714285714,2185875.8571428573,2128771.4285714286,2095928.5714285714,2137714.285714286,2141847.4285714286,466.88666366258445,933.7733273251689,2118719,2280280.0
duplex1m,1,cold,native,5,35,1,0,1675128.7142857143,1660187.2857142857,1689886.142857143,1669858.142857143,1676387.142857143,1660187.2857142857,1689886.142857143,1667342.857142857,1645000.0,1685857.142857143,1675128.7142857143,596.9690516745792,1193.9381033491584,1675415,1779556.7
duplex1m,1,steady,generic,5,5,177,8,1803134.3389830508,1757901.9830508474,2283598.3898305083,1781715.4350282487,1804212.2033898304,1757901.9830508474,2283598.3898305083,1803058.1920903954,1757841.242937853,2280962.146892655,1803134.3389830508,554.589848565576,1109.179697131152,,
duplex1m,1,steady,native,5,5,177,8,1401564.6327683616,1394256.6384180791,1621879.0734463276,1399177.6779661018,1433084.6949152541,1394256.6384180791,1621879.0734463276,1401399.4350282487,1392205.0847457626,1621672.3163841807,1401564.6327683616,713.4883234209516,1426.9766468419032,,
duplex1m,8,cold,generic,5,5,1,0,1626701.625,1612777.875,1630639.125,1619102.875,1627502.125,1612777.875,1630639.125,1625187.5,1612362.5,1629575.0,13013613.0,614.7408871003003,1229.4817742006005,13013613,13040093.8
duplex1m,8,cold,native,5,5,1,0,1313650.125,1310036.25,1326786.625,1311750.0,1324987.0,1310036.25,1326786.625,1313237.5,1309662.5,1323875.0,10509201.0,761.2377001829159,1522.4754003658318,10509201,10611413.6
duplex1m,8,steady,generic,5,5,25,8,1531982.735,1520679.485,2095978.885,1531029.31,1547060.43,1520679.485,2095978.885,1531971.0,1520663.5,2095861.0,12255861.88,652.7488705673958,1305.4977411347916,,
duplex1m,8,steady,native,5,5,25,8,1254993.455,1250844.875,1261465.9,1253239.385,1258148.84,1250844.875,1261465.9,1254919.0,1250834.0,1261454.5,10039947.64,796.8169045152509,1593.6338090305019,,
duplex1m,32,cold,generic,5,5,1,0,1580588.3125,1568683.71875,2230643.03125,1575826.1875,1583066.8125,1568683.71875,2230643.03125,1579946.875,1567878.125,2229528.125,50578826.0,632.675815765277,1265.351631530554,50578826,67236089.19999999
duplex1m,32,cold,native,5,5,1,0,1288698.65625,1275538.875,1766373.0,1279574.6875,1305336.34375,1275538.875,1766373.0,1288353.125,1274862.5,1765215.625,41238357.0,775.9765986797195,1551.953197359439,41238357,53573301.4
duplex1m,32,steady,generic,5,5,7,8,1555966.125,1539067.7276785714,2106775.870535714,1550134.4910714286,1894087.450892857,1539067.7276785714,2106775.870535714,1555903.125,1539052.232142857,2106756.6964285714,49790916.0,642.6875135215428,1285.3750270430855,,
duplex1m,32,steady,native,5,5,7,8,1278268.8214285714,1261991.7767857143,1355468.7142857143,1272493.7589285714,1282032.955357143,1261991.7767857143,1355468.7142857143,1278233.9285714286,1261980.8035714286,1355413.8392857143,40904602.28571428,782.3080585525172,1564.6161171050344,,
duplex1m,128,cold,generic,5,5,1,0,1608049.484375,1584302.53125,2223883.6796875,1597576.7421875,1615059.2734375,1584302.53125,2223883.6796875,1607735.15625,1583950.78125,2223673.4375,205830334.0,621.8714098768357,1243.7428197536715,205830334,269071206.2
duplex1m,128,cold,native,5,5,1,0,1310303.2265625,1275476.9453125,1668307.296875,1300060.953125,1313229.3203125,1275476.9453125,1668307.296875,1310082.03125,1275267.96875,1667982.8125,167718813.0,763.1821243571525,1526.364248714305,167718813,204453337.79999998
duplex1m,128,steady,generic,5,5,2,8,1599529.0546875,1585344.26953125,2089315.6015625,1595807.5859375,1929340.25390625,1585344.26953125,2089315.6015625,1599490.234375,1585301.171875,2089294.921875,204739719.0,625.184017176462,1250.368034352924,,
duplex1m,128,steady,native,5,5,2,8,1302300.70703125,1288339.2265625,1614815.3203125,1299191.80859375,1302397.2578125,1288339.2265625,1614815.3203125,1302260.15625,1288324.609375,1614775.0,166694490.5,767.8718091765606,1535.7436183531213,,
empty,1,cold,generic,5,155,1,0,300857.5806451613,297666.93548387097,331793.22580645164,297938.0,317399.48387096776,297666.93548387097,331793.22580645164,296500.0,287703.22580645164,309061.29032258067,300857.5806451613,3323.8318205431037,0.4057411890311406,279102,350173.2999999997
empty,1,cold,native,5,155,1,0,260824.83870967742,249244.32258064515,281786.1935483871,256118.16129032258,268237.67741935485,249244.32258064515,281786.1935483871,254038.70967741936,245987.09677419355,267712.9032258064,260824.83870967742,3833.9906772187983,0.46801644009018534,238902,326353.0
empty,1,steady,generic,5,5,7962,2048,37978.22569706104,34588.64682240643,55053.322657623714,34877.55124340618,47469.164908314495,34588.64682240643,55053.322657623714,37976.96558653605,34586.86259733735,55052.763124843004,37978.22569706104,26330.87727627532,3.2142184175140773,,
empty,1,steady,native,5,5,7962,2048,31575.03755337855,31014.212635016327,43892.850414468725,31314.26500879176,43640.18450138156,31014.212635016327,43892.850414468725,31574.792765636776,31012.98668676212,43892.614920874155,31575.03755337855,31670.587827788644,3.866038553196856,,
empty,8,cold,generic,5,100,1,0,70842.48125,68415.03125,90201.43125,70823.7125,88448.21875,68415.03125,90201.43125,70524.375,67243.125,88109.375,566739.85,14115.824041665679,1.7231230519611425,571555.0,760692.0
empty,8,cold,native,5,100,1,0,61338.00625,59629.30625,68939.38125,60946.78125,68603.68125,59629.30625,68939.38125,60920.0,59310.625,68286.25,490704.05,16303.105711069637,1.9901252088708052,491954.5,634671.0
empty,8,steady,generic,5,5,1085,256,28516.005069124425,28314.1900921659,31795.86970046083,28499.669585253458,28994.404723502303,28314.1900921659,31795.86970046083,28515.057603686637,28313.917050691245,31794.527649769585,228128.0405529954,35068.025748205015,4.2807648618414325,,
empty,8,steady,native,5,5,1085,256,24902.807258064517,24705.961751152074,31240.09758064516,24751.61048387097,25185.15069124424,24705.961751152074,31240.09758064516,24902.649769585252,24705.73732718894,31239.827188940093,199222.45806451613,40156.11531812986,4.901869545670149,,
empty,32,cold,generic,5,40,1,0,41564.33984375,40562.828125,42167.9609375,41019.9296875,41621.43359375,40562.828125,42167.9609375,40466.015625,40101.5625,41525.390625,1330058.875,24059.085354398314,2.9369000676755754,1280060.5,1599375.0
empty,32,cold,native,5,40,1,0,37885.890625,36017.484375,38312.4765625,37536.625,38244.40625,36017.484375,38312.4765625,37758.203125,35915.625,38214.0625,1212348.5,26395.05059807473,3.222052074960294,1182910.0,1340471.8999999997
empty,32,steady,generic,5,5,329,64,27453.44699848024,26966.03552431611,38413.44006458967,27255.695953647417,27465.8633168693,26966.03552431611,38413.44006458967,27453.257978723403,26965.824468085106,38413.20288753799,878510.3039513677,36425.29843539712,4.446447562914687,,
empty,32,steady,native,5,5,329,64,24512.016527355623,23994.38041413374,35875.02650075988,24093.554996200608,24513.18664513678,23994.38041413374,35875.02650075988,24509.659954407296,23994.1679331307,35874.70554711246,784384.5288753799,40796.31714037037,4.980019182174117,,
empty,128,cold,generic,5,15,1,0,34530.184895833336,33819.575520833336,35172.424479166664,34016.4765625,34696.377604166664,33819.575520833336,35172.424479166664,33999.21875,33565.885416666664,35150.0,4419863.666666667,28960.1692842562,3.5351769145820557,4411230,4582357.3
empty,128,cold,native,5,15,1,0,31202.90625,30831.763020833332,32181.802083333332,30895.044270833332,31709.856770833332,30831.763020833332,32181.802083333332,31180.46875,30749.479166666668,32159.635416666668,3993972.0,32048.29678325236,3.9121456034243605,4028739,4144117.3
empty,128,steady,generic,5,5,77,32,28352.078429383117,28178.4705762987,41718.1580762987,28222.24705762987,28363.770799512986,28178.4705762987,41718.1580762987,28351.846590909092,28176.48133116883,41717.7150974026,3629066.038961039,35270.78279254598,4.30551547760571,,
empty,128,steady,native,5,5,77,32,25322.497463474025,25073.98843344156,26171.681006493505,25140.27049512987,25563.409090909092,25073.98843344156,26171.681006493505,25322.301136363636,25073.741883116883,26170.8299512987,3241279.675324675,39490.57558175025,4.820626902069122,,
fixed4k,1,cold,generic,5,155,1,0,352384.12903225806,314277.0,421697.4516129032,340960.96774193546,362179.87096774194,314277.0,421697.4516129032,338645.1612903226,311496.77419354836,403941.93548387097,352384.12903225806,2837.8122554675488,22.170408245840225,327904,448054.29999999993
fixed4k,1,cold,native,5,155,1,0,315625.12903225806,283921.3870967742,353473.8387096774,290838.0967741936,346058.29032258067,283921.3870967742,353473.8387096774,308125.8064516129,272319.3548387097,350187.0967741936,315625.12903225806,3168.3155364280146,24.752465128343864,312602,389704.0
fixed4k,1,steady,generic,5,5,5163,2048,48083.903738136745,47569.84350184001,60790.348053457295,47839.33778810769,50730.30641100136,47569.84350184001,60790.348053457295,48083.4398605462,47569.455742785205,60789.79275614952,48083.903738136745,20796.980325182518,162.47640879048842,,
fixed4k,1,steady,native,5,5,5163,2048,43467.18206469107,42576.73678094131,43633.47879140035,43262.74007360062,43605.35948092194,42576.73678094131,43633.47879140035,43466.957195429015,42575.266318032154,43632.13248111563,43467.18206469107,23005.862181535627,179.7332982932471,,
fixed4k,8,cold,generic,5,85,1,0,83321.26470588235,82742.5955882353,90406.49264705883,82779.47794117648,84216.22794117648,82742.5955882353,90406.49264705883,82450.73529411765,82349.26470588235,86654.41176470589,666570.1176470588,12001.738134075653,93.76357917246604,641607,780067.0
fixed4k,8,cold,native,5,85,1,0,76195.38970588235,73022.66911764706,90237.61029411765,73169.80882352941,80144.05882352941,73022.66911764706,90237.61029411765,75457.35294117648,72561.76470588235,89588.23529411765,609563.1176470588,13124.153624780256,102.53245019359575,584104,840367.3999999999
fixed4k,8,steady,generic,5,5,901,256,39993.00499445061,39740.77081021087,55924.12042175361,39879.44644839068,40082.51803551609,39740.77081021087,55924.12042175361,39992.61931187569,39740.39955604883,55923.64039955605,319944.0399556049,25004.372643134942,195.34666127449174,,
fixed4k,8,steady,native,5,5,901,256,35235.44755826859,34826.49167591565,50040.99125971143,34873.86570477248,35344.88817980022,34826.49167591565,50040.99125971143,35235.15538290788,34825.3884572697,50039.69200887902,281883.58046614873,28380.5108008436,221.72274063159063,,
fixed4k,32,cold,generic,5,35,1,0,53126.32142857143,52713.84821428572,54826.861607142855,53118.35267857143,54478.57142857143,52713.84821428572,54826.861607142855,52991.517857142855,52290.17857142857,54032.58928571428,1700042.2857142857,18823.061207889285,147.05516568663504,1669515,1957576.2999999998
fixed4k,32,cold,native,5,35,1,0,47443.27232142857,46219.12946428572,48920.549107142855,46633.03571428572,47514.236607142855,46219.12946428572,48920.549107142855,47221.875,46098.66071428572,47716.96428571428,1518184.7142857143,21077.80410307686,164.67034455528798,1495214,1617433.3
fixed4k,32,steady,generic,5,5,238,64,38535.626838235294,37520.99080882353,54499.29136029412,37946.909532563026,38564.14456407563,37520.99080882353,54499.29136029412,38535.294117647056,37520.64075630252,54497.80724789916,1233140.0588235294,25950.012548071325,202.73447303180723,,
