case,concurrency,phase,backend,variant,baseline_wall_ns_median,baseline_wall_ns_min,baseline_wall_ns_max,baseline_cpu_ns_median,baseline_cpu_ns_min,baseline_cpu_ns_max,candidate_wall_ns_median,candidate_wall_ns_min,candidate_wall_ns_max,candidate_cpu_ns_median,candidate_cpu_ns_min,candidate_cpu_ns_max,wall_candidate_over_baseline,wall_bootstrap95_low,wall_bootstrap95_high,cpu_candidate_over_baseline,cpu_bootstrap95_low,cpu_bootstrap95_high
duplex1m,1,steady,generic,static16k,1809942.070323488,1793117.364275668,1920215.6919831224,1809906.329113924,1793079.4655414908,1920171.729957806,1774628.511954993,1753862.270042194,1872303.1828410688,1774536.146272855,1753799.4374120957,1872204.781997187,0.9750483712105428,0.9628354899167729,0.9856535304825937,0.9750194489314385,0.9628173750707624,0.9856409458411949
duplex1m,1,steady,native,static16k,1442227.4219409283,1424759.0900140647,1614314.6680731364,1442179.746835443,1424676.9338959213,1614238.5372714486,1401283.9029535865,1378689.4275668073,1464624.1279887483,1401215.611814346,1378654.571026723,1464562.3066104078,0.9746024030614783,0.9588604122886104,0.9830025250377665,0.9746120545699754,0.9588457420328468,0.9829940765651852
duplex1m,8,steady,generic,static16k,1544722.02625,1524036.9725,1599116.075,1544691.125,1524006.875,1599111.0,1523709.72,1516197.9325,1559434.4425,1523690.625,1516170.625,1559417.25,0.9870876653647459,0.9811100587762456,0.9936272743351928,0.9871004695464216,0.9811050943940457,0.9936319267808404
duplex1m,8,steady,native,static16k,1290792.865,1266781.18375,1466130.3525,1290775.75,1266733.375,1466107.0,1263187.5725,1252314.07375,1287629.40625,1263182.125,1252297.125,1287604.375,0.9858015019356552,0.9608435902520197,0.9972533454982517,0.9858006527795343,0.961798793187716,0.9972523448857015
duplex1m,128,steady,generic,static16k,1622703.33203125,1606339.75,1630636.08984375,1622654.8177083333,1606317.96875,1630584.765625,1587138.0885416667,1567050.6158854167,1673918.8854166667,1587083.59375,1567019.140625,1673855.078125,0.9782139182757811,0.9727125586169176,0.9913367172659573,0.9782027660397763,0.9727291405794396,0.9921735247479698
duplex1m,128,steady,native,static16k,1328384.5286458333,1323098.4466145833,1347778.1783854167,1328354.5572916667,1323053.90625,1347745.4427083333,1308574.6953125,1291495.24609375,1321323.7630208333,1308557.2916666667,1291475.0,1321291.1458333333,0.9832317300520876,0.9750309809690877,0.9919855382627557,0.9832398654281337,0.9750433372753349,0.9919932518811533
empty,1,cold,generic,static16k,322560.6129032258,302428.3548387097,405587.4193548387,312393.5483870968,299412.9032258064,401941.93548387097,303560.1935483871,291195.5806451613,391551.93548387097,296580.6451612903,288474.1935483871,388170.96774193546,0.9495851305567354,0.9180688134592824,0.9953468841951083,0.9657389126980305,0.9413137849127693,0.988138076666164
empty,1,cold,native,static16k,268236.3548387097,253450.51612903227,318615.77419354836,264532.2580645161,246393.5483870968,315277.4193548387,262922.9032258064,252637.35483870967,306093.06451612903,254516.12903225806,249616.12903225806,302570.96774193546,0.9775470044653685,0.9606965169596022,1.0510099401532567,0.9771465558017376,0.9418674002215272,1.0180110968843363
empty,1,steady,generic,static16k,35402.05670913164,35324.6153074531,43088.80225365299,35400.69214565152,35323.99438258602,43088.25692981576,34755.54910221687,34141.22904336777,38311.469589059416,34754.81994181964,34140.485505065706,38310.67643026716,0.9767267825392464,0.9628902342712782,0.9892585753624336,0.9767343831467072,0.9628814598264805,0.9892380968684777
empty,1,steady,native,static16k,31944.827297957,31672.151636740564,32613.722272377705,31944.55813020363,31671.856087203665,32612.471996522552,31387.977563781056,30879.128230848964,31792.05573945899,31387.725281706626,30878.88119838165,31791.63406560337,0.9792281019274831,0.9666393855515948,0.9928500233619143,0.9792266181652922,0.9666397973802499,0.9928430880495164
