run,boundary,cohort_field,allocations,reallocations,deallocations,live,traced_live_objects
generic-empty-256,pre_runtime,0,3,0,0,710,0
generic-empty-256,connection_live,1,1183,17,1009,281667,172
generic-empty-256,connection_live,2,2114,20,1940,282051,172
generic-empty-256,connection_live,8,7724,24,7550,284163,172
generic-empty-256,connection_live,32,30224,29,30050,292675,172
generic-empty-256,connection_live,128,119673,33,119499,330259,172
generic-empty-256,connection_live,256,238816,35,238642,338451,172
generic-empty-256,post_driver_close,2048,238920,38,238855,37972,63
generic-empty-256,post_runtime_cleanup,0,239002,38,238999,1572,1
generic-empty-4096,pre_runtime,0,3,0,0,711,0
generic-empty-4096,connection_live,1,1183,17,1009,281667,172
generic-empty-4096,connection_live,2,2114,20,1940,282051,172
generic-empty-4096,connection_live,8,7724,24,7550,284163,172
generic-empty-4096,connection_live,32,30224,29,30050,292675,172
generic-empty-4096,connection_live,128,119673,33,119499,330259,172
generic-empty-4096,connection_live,256,238816,35,238642,338451,172
generic-empty-4096,connection_live,1024,953691,35,953517,338451,172
generic-empty-4096,connection_live,4096,3813227,35,3813053,338451,172
generic-empty-4096,post_driver_close,32768,3813331,38,3813266,37972,63
generic-empty-4096,post_runtime_cleanup,0,3813413,38,3813410,1572,1
generic-owned-8,pre_runtime,0,3,0,0,708,0
generic-owned-8,connection_live,1,35138,25,34953,419137,183
generic-owned-8,connection_live,2,66781,29,66592,485185,187
generic-owned-8,connection_live,8,260488,34,260299,487745,187
generic-owned-8,post_driver_close,64,260584,37,260519,38549,63
generic-owned-8,post_runtime_cleanup,0,260666,37,260663,1572,1
generic-static-1,pre_runtime,0,3,0,0,709,0
generic-static-1,connection_live,1,34114,25,33929,419137,183
generic-static-1,post_driver_close,8,34210,28,34145,38485,63
generic-static-1,post_runtime_cleanup,0,34292,28,34289,1572,1
generic-static-2,pre_runtime,0,3,0,0,709,0
generic-static-2,connection_live,1,34114,25,33929,419137,183
generic-static-2,connection_live,2,64733,29,64544,485185,187
generic-static-2,post_driver_close,16,64829,32,64764,38549,63
generic-static-2,post_runtime_cleanup,0,64911,32,64908,1572,1
generic-static-32,pre_runtime,0,3,0,0,710,0
generic-static-32,connection_live,1,34114,25,33929,419137,183
generic-static-32,connection_live,2,64733,29,64544,485185,187
generic-static-32,connection_live,8,252296,34,252107,487745,187
generic-static-32,connection_live,32,1010075,38,1009886,496193,187
generic-static-32,post_driver_close,256,1010171,41,1010106,38549,63
generic-static-32,post_runtime_cleanup,0,1010253,41,1010250,1572,1
generic-static-8,pre_runtime,0,3,0,0,709,0
generic-static-8,connection_live,1,34114,25,33929,419137,183
generic-static-8,connection_live,2,64733,29,64544,485185,187
generic-static-8,connection_live,8,252296,34,252107,487745,187
generic-static-8,post_driver_close,64,252392,37,252327,38549,63
generic-static-8,post_runtime_cleanup,0,252474,37,252471,1572,1
native-empty-256,pre_runtime,0,3,0,0,709,0
native-empty-256,connection_live,1,1050,18,884,205322,164
native-empty-256,connection_live,2,1849,20,1683,205674,164
native-empty-256,connection_live,8,6674,25,6507,207882,165
native-empty-256,connection_live,32,25775,29,25608,216330,165
native-empty-256,connection_live,128,102191,33,102024,250122,165
native-empty-256,connection_live,256,204024,35,203857,258314,165
native-empty-256,post_driver_close,2048,204121,38,204056,37971,63
native-empty-256,post_runtime_cleanup,0,204203,38,204200,1572,1
native-empty-4096,pre_runtime,0,3,0,0,710,0
native-empty-4096,connection_live,1,1050,18,884,205322,164
native-empty-4096,connection_live,2,1849,20,1683,205674,164
native-empty-4096,connection_live,8,6674,25,6507,207882,165
native-empty-4096,connection_live,32,25775,29,25608,216330,165
native-empty-4096,connection_live,128,102191,33,102024,250122,165
native-empty-4096,connection_live,256,204024,35,203857,258314,165
native-empty-4096,connection_live,1024,814956,35,814789,258314,165
native-empty-4096,connection_live,4096,3258761,35,3258594,258314,165
native-empty-4096,post_driver_close,32768,3258858,38,3258793,37971,63
native-empty-4096,post_runtime_cleanup,0,3258940,38,3258937,1572,1
native-owned-8,pre_runtime,0,3,0,0,707,0
native-owned-8,connection_live,1,24447,25,24271,273596,174
native-owned-8,connection_live,2,51104,27,50928,273948,174
native-owned-8,connection_live,8,199786,33,199610,276572,174
native-owned-8,post_driver_close,64,199877,36,199812,38548,63
native-owned-8,post_runtime_cleanup,0,199959,36,199956,1572,1
native-static-1,pre_runtime,0,3,0,0,708,0
native-static-1,connection_live,1,23423,25,23247,273596,174
native-static-1,post_driver_close,8,23514,28,23449,38484,63
native-static-1,post_runtime_cleanup,0,23596,28,23593,1572,1
native-static-2,pre_runtime,0,3,0,0,708,0
native-static-2,connection_live,1,23423,25,23247,273596,174
native-static-2,connection_live,2,49056,27,48880,273948,174
native-static-2,post_driver_close,16,49147,30,49082,38484,63
native-static-2,post_runtime_cleanup,0,49229,30,49226,1572,1
native-static-32,pre_runtime,0,3,0,0,709,0
native-static-32,connection_live,1,23423,25,23247,273596,174
native-static-32,connection_live,2,49056,27,48880,273948,174
native-static-32,connection_live,8,191594,33,191418,276572,174
native-static-32,connection_live,32,767418,37,767240,317820,176
native-static-32,post_driver_close,256,767509,40,767444,38548,63
native-static-32,post_runtime_cleanup,0,767591,40,767588,1572,1
native-static-8,pre_runtime,0,3,0,0,708,0
native-static-8,connection_live,1,23423,25,23247,273596,174
native-static-8,connection_live,2,49056,27,48880,273948,174
native-static-8,connection_live,8,191594,33,191418,276572,174
native-static-8,post_driver_close,64,191685,36,191620,38548,63
native-static-8,post_runtime_cleanup,0,191767,36,191764,1572,1
nop-scoped,pre_runtime,0,3,0,0,703,0
nop-scoped,control_live,1,17,0,1,33834,14
nop-scoped,control_live,2,17,0,1,33834,14
nop-scoped,control_live,8,17,0,1,33834,14
nop-scoped,control_live,32,17,0,1,33834,14
nop-scoped,control_live,128,17,0,1,33834,14
nop-scoped,control_live,512,17,0,1,33834,14
nop-scoped,control_live,4096,17,0,1,33834,14
nop-scoped,control_finished,4096,17,0,3,33638,12
nop-scoped,post_runtime_cleanup,0,19,0,17,548,0
nop-unscoped,pre_runtime,0,3,0,0,705,0
nop-unscoped,control_live,1,15,0,1,33640,12
nop-unscoped,control_live,2,15,0,1,33640,12
nop-unscoped,control_live,8,15,0,1,33640,12
nop-unscoped,control_live,32,15,0,1,33640,12
nop-unscoped,control_live,128,15,0,1,33640,12
nop-unscoped,control_live,512,15,0,1,33640,12
nop-unscoped,control_live,4096,15,0,1,33640,12
nop-unscoped,control_finished,4096,15,0,1,33640,12
nop-unscoped,post_runtime_cleanup,0,17,0,15,548,0
wait-scoped,pre_runtime,0,3,0,0,704,0
wait-scoped,control_live,1,14,0,3,33451,9
wait-scoped,control_live,2,16,0,5,33451,9
wait-scoped,control_live,8,28,0,17,33451,9
wait-scoped,control_live,32,76,0,65,33451,9
wait-scoped,control_live,128,268,0,257,33451,9
wait-scoped,control_live,512,1036,0,1025,33451,9
wait-scoped,control_live,4096,8204,0,8193,33451,9
wait-scoped,control_finished,4096,8204,0,8195,33255,7
wait-scoped,post_runtime_cleanup,0,8210,0,8208,548,0
wait-unscoped,pre_runtime,0,3,0,0,706,0
wait-unscoped,control_live,1,11,0,2,33257,7
wait-unscoped,control_live,2,12,0,3,33257,7
wait-unscoped,control_live,8,18,0,9,33257,7
wait-unscoped,control_live,32,42,0,33,33257,7
wait-unscoped,control_live,128,138,0,129,33257,7
wait-unscoped,control_live,512,522,0,513,33257,7
wait-unscoped,control_live,4096,4106,0,4097,33257,7
wait-unscoped,control_finished,4096,4106,0,4097,33257,7
wait-unscoped,post_runtime_cleanup,0,4112,0,4110,548,0
