# Fixed NFR-003 denominator.
# package|kind|target|required-features|documentation|executable-test|default-applicable
examples|bin|copyfile|-|1|1|1
examples|bin|object-gateway-client|-|1|1|1
examples|bin|object-gateway-conformance|-|1|1|1
examples|bin|object-gateway-contract-check|-|1|1|1
examples|bin|object-gateway-fsm-host|-|1|1|1
examples|bin|object-gateway-fsm-ring-pool-host|-|1|1|1
examples|bin|object-gateway-fsm-uring-host|-|1|1|1
examples|bin|object-gateway-ring-pool-host|-|1|1|1
examples|bin|object-gateway-stack-host|-|1|1|1
examples|bin|object-gateway-tokio-host|-|1|1|1
examples|bin|object-gateway-workload|-|1|1|1
examples|bin|retry-backoff|virtual-clock|1|1|0
examples|bin|stack_router_demo|-|1|1|1
examples|bin|stack_router_workload|-|1|1|1
examples|bin|tcp-echo-client|-|1|1|1
examples|bin|tcp-echo-kimojio-host|-|1|1|1
examples|bin|tcp-echo-ring-pool-host|-|1|1|1
examples|bin|tcp-echo-stack-host|-|1|1|1
examples|bin|tcp-echo-tokio-host|-|1|1|1
examples|bin|tls-echo-server|tls|1|1|0
examples|bin|virtual-time|virtual-clock|1|1|0
examples|lib|examples|-|1|1|1
examples|test|object_gateway_conformance|-|0|1|1
examples|test|object_gateway_go|-|0|1|1
examples|test|object_gateway_ring_pool|-|0|1|1
examples|test|object_gateway_tokio|-|0|1|1
examples|test|object_gateway_workload|-|0|1|1
examples|test|stack_router_conformance|-|0|1|1
examples|test|stack_router_porting|-|0|1|1
examples|test|stack_router_workload|-|0|1|1
examples|test|tcp_echo_ring_pool|-|0|1|1
kimojio-fsm-grpc|lib|kimojio_fsm_grpc|-|1|1|1
kimojio-fsm-grpc|test|diagnostics_api|-|0|1|1
kimojio-fsm-grpc|test|hpack_metadata|-|0|1|1
kimojio-fsm-grpc|test|tonic_interop|-|0|1|1
kimojio-fsm-http|lib|kimojio_fsm_http|-|1|1|1
kimojio-fsm-http|test|flow_diagnostics_api|-|0|1|1
kimojio-fsm-http|test|frame_allocations|-|0|1|1
kimojio-fsm-http|test|hpack_adapters|-|0|1|1
kimojio-fsm-http|test|hpack_api|-|0|1|1
kimojio-fsm-http|test|hpack_connection|-|0|1|1
kimojio-fsm-http|test|hpack_diagnostics|-|0|1|1
kimojio-fsm-http|test|hpack_manifest|-|0|1|1
kimojio-fsm-http|test|hpack_resource_bounds|-|0|1|1
kimojio-fsm-http|test|hpack_vectors|-|0|1|1
kimojio-fsm-static-file-server|bin|kimojio-fsm-static-file-server|-|1|1|1
kimojio-fsm-static-file-server|lib|kimojio_fsm_static_file_server|-|1|1|1
kimojio-fsm-static-file-server|test|hpack_headers|-|0|1|1
kimojio-stack-grpc|lib|kimojio_stack_grpc|-|1|1|1
kimojio-stack-grpc|test|client_interop|-|0|1|1
kimojio-stack-grpc|test|hpack_metadata|-|0|1|1
kimojio-stack-grpc|test|interop_proto|-|0|1|1
kimojio-stack-grpc|test|protocol_limits|-|0|1|1
kimojio-stack-grpc|test|ring_pool_runtime|-|0|1|1
kimojio-stack-grpc|test|server_interop|-|0|1|1
kimojio-stack-grpc|test|tls_interop|-|0|1|1
kimojio-stack-http|lib|kimojio_stack_http|-|1|1|1
kimojio-stack-http|test|alpn|-|0|1|1
kimojio-stack-http|test|h2_interop|-|0|1|1
kimojio-stack-http|test|h2_ring_pool|-|0|1|1
kimojio-stack-http|test|hpack_adapters|-|0|1|1
kimojio-stack-http|test|http1_interop|-|0|1|1
kimojio-stack-http|test|protocol_limits|-|0|1|1
kimojio-stack-http|test|ring_pool_allocation|-|0|1|1
kimojio-stack-http|test|ring_pool_transport|-|0|1|1
kimojio-stack-http|test|tls_errors|-|0|1|1
kimojio-stack-http|test|tls_interop|-|0|1|1
